"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"B2H44ZRG","journalArticle","2019","Luque, Amalia; Carrasco, Alejandro; Martín, Alejandro; de las Heras, Ana","The impact of class imbalance in classification performance metrics based on the binary confusion matrix","Pattern Recognition","","0031-3203","10.1016/j.patcog.2019.02.023","https://www.sciencedirect.com/science/article/pii/S0031320319300950","A major issue in the classification of class imbalanced datasets involves the determination of the most suitable performance metrics to be used. In previous work using several examples, it has been shown that imbalance can exert a major impact on the value and meaning of accuracy and on certain other well-known performance metrics. In this paper, our approach goes beyond simply studying case studies and develops a systematic analysis of this impact by simulating the results obtained using binary classifiers. A set of functions and numerical indicators are attained which enables the comparison of the behaviour of several performance metrics based on the binary confusion matrix when they are faced with imbalanced datasets. Throughout the paper, a new way to measure the imbalance is defined which surpasses the Imbalance Ratio used in previous studies. From the simulation results, several clusters of performance metrics have been identified that involve the use of Geometric Mean or Bookmaker Informedness as the best null-biased metrics if their focus on classification successes (dismissing the errors) presents no limitation for the specific application where they are used. However, if classification errors must also be considered, then the Matthews Correlation Coefficient arises as the best choice. Finally, a set of null-biased multi-perspective Class Balance Metrics is proposed which extends the concept of Class Balance Accuracy to other performance metrics.","2019-07-01","2022-03-22 07:36:23","2022-03-22 07:36:23","2022-03-22 07:36:23","216-231","","","91","","Pattern Recognition","","","","","","","","en","","","","","ScienceDirect","","","","/Users/mac/Zotero/storage/SRP7DGSE/Luque et al. - 2019 - The impact of class imbalance in classification pe.pdf; /Users/mac/Zotero/storage/LKNNF4QI/S0031320319300950.html","","","Class Balance Metrics; Classification; Imbalanced datasets; Performance measures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PZ2CSHGU","journalArticle","2019","Zhang, Chongsheng; Bi, Jingjun; Xu, Shixin; Ramentol, Enislay; Fan, Gaojuan; Qiao, Baojun; Fujita, Hamido","Multi-Imbalance: An open-source software for multi-class imbalance learning","Knowledge-Based Systems","","0950-7051","10.1016/j.knosys.2019.03.001","https://www.sciencedirect.com/science/article/pii/S0950705119301042","Imbalance classification is one of the most challenging research problems in machine learning. Techniques for two-class imbalance classification are relatively mature nowadays, yet multi-class imbalance learning is still an open problem. Moreover, the community lacks a suitable software tool that can integrate the major works in the field. In this paper, we present Multi-Imbalance, an open source software package for multi-class imbalanced data classification. It provides users with seven different categories of multi-class imbalance learning algorithms, including the latest advances in the field. The source codes and documentations for Multi-Imbalance are publicly available at https://github.com/chongshengzhang/Multi_Imbalance.","2019-06-15","2022-03-22 07:37:12","2022-03-22 07:37:12","2022-03-22 07:37:12","137-143","","","174","","Knowledge-Based Systems","Multi-Imbalance","","","","","","","en","","","","","ScienceDirect","","","","/Users/mac/Zotero/storage/VL3CICDN/S0950705119301042.html","","","Imbalanced data classification; Multi-class imbalance leaning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"W3P8HASA","conferencePaper","2017","Branco, Paula; Torgo, Luís; Ribeiro, Rita P.","Relevance-Based Evaluation Metrics for Multi-class Imbalanced Domains","Advances in Knowledge Discovery and Data Mining","978-3-319-57454-7","","10.1007/978-3-319-57454-7_54","","The class imbalance problem is a key issue that has received much attention. This attention has been mostly focused on two-classes problems. Fewer solutions exist for the multi-classes imbalance problem. From an evaluation point of view, the class imbalance problem is challenging because a non-uniform importance is assigned to the classes. In this paper, we propose a relevance-based evaluation framework that incorporates user preferences by allowing the assignment of differentiated importance values to each class. The presented solution is able to overcome difficulties detected in existing measures and increases discrimination capability. The proposed framework requires the assignment of a relevance score to the problem classes. To deal with cases where the user is not able to specify each class relevance, we describe three mechanisms to incorporate the existing domain knowledge into the relevance framework. These mechanisms differ in the amount of information available and assumptions made regarding the domain. They also allow the use of our framework in common settings of multi-class imbalanced problems with different levels of information available.","2017","2022-03-22 07:40:30","2022-03-22 07:40:30","","698-710","","","","","","","Lecture Notes in Computer Science","","","","Springer International Publishing","Cham","en","","","","","Springer Link","","","","/Users/mac/Zotero/storage/KFBE8T9U/Branco et al. - 2017 - Relevance-Based Evaluation Metrics for Multi-class.pdf","","","","Kim, Jinho; Shim, Kyuseok; Cao, Longbing; Lee, Jae-Gil; Lin, Xuemin; Moon, Yang-Sae","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SMN6AEJN","journalArticle","2020","Orlenko, Alena; Kofink, Daniel; Lyytikäinen, Leo-Pekka; Nikus, Kjell; Mishra, Pashupati; Kuukasjärvi, Pekka; Karhunen, Pekka J; Kähönen, Mika; Laurikka, Jari O; Lehtimäki, Terho; Asselbergs, Folkert W; Moore, Jason H","Model selection for metabolomics: predicting diagnosis of coronary artery disease using automated machine learning","Bioinformatics","","1367-4803","10.1093/bioinformatics/btz796","https://doi.org/10.1093/bioinformatics/btz796","Selecting the optimal machine learning (ML) model for a given dataset is often challenging. Automated ML (AutoML) has emerged as a powerful tool for enabling the automatic selection of ML methods and parameter settings for the prediction of biomedical endpoints. Here, we apply the tree-based pipeline optimization tool (TPOT) to predict angiographic diagnoses of coronary artery disease (CAD). With TPOT, ML models are represented as expression trees and optimal pipelines discovered using a stochastic search method called genetic programing. We provide some guidelines for TPOT-based ML pipeline selection and optimization-based on various clinical phenotypes and high-throughput metabolic profiles in the Angiography and Genes Study (ANGES).We analyzed nuclear magnetic resonance-derived lipoprotein and metabolite profiles in the ANGES cohort with a goal to identify the role of non-obstructive CAD patients in CAD diagnostics. We performed a comparative analysis of TPOT-generated ML pipelines with selected ML classifiers, optimized with a grid search approach, applied to two phenotypic CAD profiles. As a result, TPOT-generated ML pipelines that outperformed grid search optimized models across multiple performance metrics including balanced accuracy and area under the precision-recall curve. With the selected models, we demonstrated that the phenotypic profile that distinguishes non-obstructive CAD patients from no CAD patients is associated with higher precision, suggesting a discrepancy in the underlying processes between these phenotypes.TPOT is freely available via http://epistasislab.github.io/tpot/.Supplementary data are available at Bioinformatics online.","2020-03-01","2022-03-22 08:07:43","2022-03-22 08:07:43","2022-03-22 08:07:43","1772-1778","","6","36","","Bioinformatics","Model selection for metabolomics","","","","","","","","","","","","Silverchair","","","","/Users/mac/Zotero/storage/ZYNUGRQ3/Orlenko et al. - 2020 - Model selection for metabolomics predicting diagn.pdf; /Users/mac/Zotero/storage/JNREJH9L/5614811.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2JK9L7S8","webpage","","","Evaluation of Oversampling Data Balancing Techniques in the Context of Ordinal Classification","","","","","https://ieeexplore.ieee.org/abstract/document/8489599/","Data imbalance is characterized by a discrepancy in the number of examples per class of a dataset. This phenomenon is known to deteriorate the performance of classifiers, since they are less able to learn the characteristics of the less represented classes. For most imbalanced datasets, the application of sampling techniques improves the classifier's performance. For small datasets, oversampling has been shown to be the most appropriate strategy since it augments the original set of samples. Although several oversampling strategies have been proposed and tested over the years, the work has mostly focused on binary or multi-class tasks. Motivated by medical applications, where there is often an order associated with the classes (increasing likelihood of malignancy, for instance), the present work tests some existing oversampling techniques in ordinal contexts. Moreover, four new oversampling techniques are proposed. Experiments were made both on private and public datasets. Private datasets concern the assessment of response to treatment on oncologic diseases. The 15 public datasets were chosen since they are widely used in the literature. Results show that data balance techniques improve classification results on ordinal imbalanced datasets, even when these techniques are not specifically designed for ordinal problems. With our pipeline, better or equal to published results were obtained for 10 out of the 15 public datasets with improvements upon a decrease of 0.43 on MMAE.","","2022-03-22 08:09:37","2022-03-22 08:09:37","2022-03-22 08:09:37","","","","","","","","","","","","","","en-US","","","","","","","","","/Users/mac/Zotero/storage/VDKQVZEM/8489599.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JCVX9WZH","webpage","","","Evaluation of Oversampling Data Balancing Techniques in the Context of Ordinal Classification","","","","","https://ieeexplore.ieee.org/abstract/document/8489599","Data imbalance is characterized by a discrepancy in the number of examples per class of a dataset. This phenomenon is known to deteriorate the performance of classifiers, since they are less able to learn the characteristics of the less represented classes. For most imbalanced datasets, the application of sampling techniques improves the classifier's performance. For small datasets, oversampling has been shown to be the most appropriate strategy since it augments the original set of samples. Although several oversampling strategies have been proposed and tested over the years, the work has mostly focused on binary or multi-class tasks. Motivated by medical applications, where there is often an order associated with the classes (increasing likelihood of malignancy, for instance), the present work tests some existing oversampling techniques in ordinal contexts. Moreover, four new oversampling techniques are proposed. Experiments were made both on private and public datasets. Private datasets concern the assessment of response to treatment on oncologic diseases. The 15 public datasets were chosen since they are widely used in the literature. Results show that data balance techniques improve classification results on ordinal imbalanced datasets, even when these techniques are not specifically designed for ordinal problems. With our pipeline, better or equal to published results were obtained for 10 out of the 15 public datasets with improvements upon a decrease of 0.43 on MMAE.","","2022-03-22 08:10:02","2022-03-22 08:10:02","2022-03-22 08:10:02","","","","","","","","","","","","","","en-US","","","","","","","","","/Users/mac/Zotero/storage/2WI8KGJT/8489599.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IF8F9Z32","conferencePaper","2017","Hauser, Matthias; Griebel, Matthias; Thiesse, Frédéric","A hidden Markov model for distinguishing between RFID-tagged objects in adjacent areas","2017 IEEE International Conference on RFID (RFID)","","","10.1109/RFID.2017.7945604","","Distinguishing between RFID-tagged objects within different areas poses an important building block for many RFID-based applications. Existing localization techniques, however, often cannot reliably distinguish between tagged objects that are close to the border of adjacent areas. Against this backdrop, we present a hybrid approach based on an ANN and a HMM that leverages not only low-level RFID data streams but also information about physical constraints and process knowledge and thus incorporates scene dynamics. We experimentally demonstrate the performance of our approach considering a RFID-based smart fitting room which is a practically relevant application with limited process control in an environment with strong multipath reflections and non-line-of-sight effects. Our results show that our approach is able to reliably distinguish between tagged objects within different cabins. This includes objects hanging on coat hooks at partition walls of adjacent cabins, i.e., at a maximum distance of 5 centimeters to the border of an adjacent area.","2017-05","2022-03-22 08:10:44","2022-03-22 08:10:44","","167-173","","","","","","","","","","","","","","","","","","IEEE Xplore","","","","/Users/mac/Zotero/storage/DJDQANZ2/7945604.html","","","Conferences; Hidden Markov models; Logic gates; Probability; Radiofrequency identification; Reliability; Viterbi algorithm","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2017 IEEE International Conference on RFID (RFID)","","","","","","","","","","","","","","",""
"SYVBEUXM","journalArticle","2020","Shateri, Mohammadhadi; Messina, Francisco; Piantanida, Pablo; Labeau, Fabrice","Real-Time Privacy-Preserving Data Release for Smart Meters","IEEE Transactions on Smart Grid","","1949-3061","10.1109/TSG.2020.3005634","","Smart Meters (SMs) are able to share the power consumption of users with utility providers almost in real-time. These fine-grained signals carry sensitive information about users, which has raised serious concerns from the privacy viewpoint. In this paper, we focus on real-time privacy threats, i.e., potential attackers that try to infer sensitive information from SMs data in an online fashion. We adopt an information-theoretic privacy measure and show that it effectively limits the performance of any attacker. Then, we propose a general formulation to design a privatization mechanism that can provide a target level of privacy by adding a minimal amount of distortion to the SMs measurements. On the other hand, to cope with different applications, a flexible distortion measure is considered. This formulation leads to a general loss function, which is optimized using a deep learning adversarial framework, where two neural networks -referred to as the releaser and the adversary- are trained with opposite goals. An exhaustive empirical study is then performed to validate the performance of the proposed approach and compare it with state-of-the-art methods for the occupancy detection privacy problem. Finally, we also investigate the impact of data mismatch between the releaser and the attacker.","2020-11","2022-03-22 08:11:15","2022-03-22 08:11:15","","5174-5183","","6","11","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Transactions on Smart Grid","","/Users/mac/Zotero/storage/XW45KJ9J/Shateri et al. - 2020 - Real-Time Privacy-Preserving Data Release for Smar.pdf","","","adversarial training; Data privacy; deep learning; directed information; Distortion; Distortion measurement; long-short term memory (LSTM) cell; Power measurement; Privacy; Privacy-preserving mechanism; privacy-utility trade-off; Real-time systems; recurrent neural networks; smart meters privacy; time series data; Training","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K97PNQT3","journalArticle","2021","Creagh, Andrew P.; Simillion, Cedric; Bourke, Alan K.; Scotland, Alf; Lipsmeier, Florian; Bernasconi, Corrado; van Beek, Johan; Baker, Mike; Gossens, Christian; Lindemann, Michael; De Vos, Maarten","Smartphone- and Smartwatch-Based Remote Characterisation of Ambulation in Multiple Sclerosis During the Two-Minute Walk Test","IEEE Journal of Biomedical and Health Informatics","","2168-2208","10.1109/JBHI.2020.2998187","","Leveraging consumer technology such as smartphone and smartwatch devices to objectively assess people with multiple sclerosis (PwMS) remotely could capture unique aspects of disease progression. This study explores the feasibility of assessing PwMS and Healthy Control's (HC) physical function by characterising gaitrelated features, which can be modelled using machine learning (ML) techniques to correctly distinguish subgroups of PwMS from healthy controls. A total of 97 subjects (24 HC subjects, 52 mildly disabled (PwMSmild, EDSS [0-3]) and 21 moderately disabled (PwMSmod, EDSS [3.5- 5.5]) contributed data which was recorded from a TwoMinute Walk Test (2MWT) performed out-of-clinic and daily over a 24-week period. Signal-based features relating to movement were extracted from sensors in smartphone and smartwatch devices. A large number of features (n = 156) showed fair-to-strong (R > 0.3) correlations with clinical outcomes. LASSO feature selection was applied to select and rank subsets of features used for dichotomous classification between subject groups, which were compared using Logistic Regression (LR), Support Vector Machines (SVM) and Random Forest (RF) models. Classifications of subject types were compared using data obtained from smartphone, smartwatch and the fusion of features from both devices. Models built on smartphone features alone achieved the highest classification performance, indicating that accurate and remote measurement of the ambulatory characteristics of HC and PwMS can be achieved with only one device. It was observed however that smartphonebased performance was affected by inconsistent placement location (running belt versus pocket). Results show that PwMSmod could be distinguished from HC subjects (Acc. 82.2 ± 2.9%, Sen. 80.1 ± 3.9%, Spec. 87.2 ± 4.2%, F1 84.3 ± 3.8), and PwMSmild (Acc. 82.3 ± 1.9%, Sen. 71.6 ± 4.2%, Spec. 87.0 ± 3.2%, F1 75.1 ± 2.2) using an SVM classifier with a Radial Basis Function (RBF). PwMSmild were shown to exhibit HC-like behaviour and were thus less distinguishable from HC (Acc. 66.4 ± 4.5%, Sen. 67.5 ± 5.7%, Spec. 60.3 ± 6.7%, F1 58.6 ± 5.8). Finally, it was observed that subjects in this study demonstrated low intraand high inter-subject variability which was representative of subject-specific gait characteristics.","2021-03","2022-03-22 08:11:29","2022-03-22 08:11:29","","838-849","","3","25","","","","","","","","","","","","","","","IEEE Xplore","","Conference Name: IEEE Journal of Biomedical and Health Informatics","","/Users/mac/Zotero/storage/PCAQTKLT/9103259.html; /Users/mac/Zotero/storage/QCD6RMGI/Creagh et al. - 2021 - Smartphone- and Smartwatch-Based Remote Characteri.pdf","","","Entropy; Feature extraction; Gait; Legged locomotion; machine learning; multiple sclerosis; Multiple sclerosis; Pulse width modulation; sensor-based measure; Sensors; smartphone; smartwatch","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"L799EXGC","journalArticle","2020","Delgado-Font, Wilkie; Escobedo-Nicot, Miriela; González-Hidalgo, Manuel; Herold-Garcia, Silena; Jaume-i-Capó, Antoni; Mir, Arnau","Diagnosis support of sickle cell anemia by classifying red blood cell shape in peripheral blood images","Medical & Biological Engineering & Computing","","1741-0444","10.1007/s11517-019-02085-9","https://doi.org/10.1007/s11517-019-02085-9","Red blood cell (RBC) deformation is the consequence of several diseases, including sickle cell anemia, which causes recurring episodes of pain and severe pronounced anemia. Monitoring patients with these diseases involves the observation of peripheral blood samples under a microscope, a time-consuming procedure. Moreover, a specialist is required to perform this technique, and owing to the subjective nature of the observation of isolated RBCs, the error rate is high. In this paper, we propose an automated method for differentially enumerating RBCs that uses peripheral blood smear image analysis. In this method, the objects of interest in the image are segmented using a Chan-Vese active contour model. An analysis is then performed to classify the RBCs, also called erythrocytes, as normal or elongated or having other deformations, using the basic shape analysis descriptors: circular shape factor (CSF) and elliptical shape factor (ESF). To analyze cells that become partially occluded in a cluster during sample preparation, an elliptical adjustment is performed to allow the analysis of erythrocytes with discoidal and elongated shapes. The images of patient blood samples used in the study were acquired by a clinical laboratory specialist in the Special Hematology Department of the “Dr. Juan Bruno Zayas” General Hospital in Santiago de Cuba. A comparison of the results obtained by the proposed method in our experiments with those obtained by some state-of-the-art methods showed that the proposed method is superior for the diagnosis of sickle cell anemia. This superiority is achieved for evidenced by the obtained F-measure value (0.97 for normal cells and 0.95 for elongated ones) and several overall multiclass performance measures. The results achieved by the proposed method are suitable for the purpose of clinical treatment and diagnostic support of sickle cell anemia.","2020-06-01","2022-03-22 08:12:24","2022-03-22 08:12:24","2022-03-22 08:12:24","1265-1284","","6","58","","Med Biol Eng Comput","","","","","","","","en","","","","","Springer Link","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
